ORTHO;PERIODE;NBLET;CP_U;GRAM;freq_CP;nblet_mot;CV_ortho;CV_phono;is_easy_vc
kaki;2;4;0.43;NC;rares;court;CVCV;CVCV;1
téléski;2;7;0.37;NC;rares;long;CVCVCCV;CVCVCCV;0
maki;2;4;7.57;NC;rares;court;CVCV;CVCV;1
polka;2;5;0.89;NC;rares;court;CVCCV;CVCCV;0
lièvre;2;6;66.68;NC;frequents;long;CVVCCV;CYVCC;0
capitale;2;8;1.5;NC;rares;long;CVCVCVCV;CVCVCVC;0
mais;2;4;3603.59;CON;frequents;court;CVVC;CV;0
fais;2;4;430.24;VER;frequents;court;CVVC;CV;0
sais;2;4;566.32;VER;frequents;court;CVVC;CV;0
plaire;2;6;5.36;VER;rares;long;CCVVCV;CCVC;0
marraine;2;8;1.07;NC;rares;long;CVCCVVCV;CVCVC;0
traire;2;6;0.42;VER;rares;long;CCVVCV;CCVC;0
fois;2;4;653.13;NC;frequents;court;CVVC;CYV;0
parent;2;6;0.61;VER;rares;long;CVCVCC;CVC;0
mauvais;2;7;13.39;ADJ;rares;long;CVVCVVC;CVCV;0
aime;2;4;554.17;VER;frequents;court;VVCV;VC;0
étable;2;6;19.48;NC;rares;long;VCVCCV;VCVCC;0
grande;2;6;509.89;ADJ;frequents;long;CCVCCV;CCVC;0
frais;2;5;32.12;ADJ;rares;court;CCVVC;CCV;0
bain;2;4;156.76;NC;frequents;court;CVVC;CV;0
brin;2;4;50.1;NC;frequents;court;CCVC;CCV;0
bassin;2;6;21.7;NC;rares;long;CVCCVC;CVCV;0
lutin;2;5;7.26;NC;rares;court;CVCVC;CVCV;0
invite;2;6;6.45;VER;rares;long;VCCVCV;VCVC;0
copain;2;6;63.29;NC;frequents;long;CVCVVC;CVCV;0
train;2;5;356.2;NC;frequents;court;CCVVC;CCV;0
main;2;4;402.92;NC;frequents;court;CVVC;CV;0
pain;2;4;331.26;NC;frequents;court;CVVC;CV;0
nain;2;4;50.56;NC;frequents;court;CVVC;CV;0
soudain;2;7;155.08;ADV;frequents;long;CVVCVVC;CVCV;0
demain;2;6;201.54;ADV;frequents;long;CVCVVC;CVCV;0
plante;2;6;5.36;NC;rares;long;CCVCCV;CCVC;0
coussin;2;7;56.28;NC;frequents;long;CVVCCVC;CVCV;0
installe;2;8;67.58;VER;frequents;long;VCCCVCCV;VCCVC;0
peluche;2;7;80.56;NC;frequents;long;CVCVCCV;CVCVC;0
cheminée;2;8;74.06;NC;frequents;long;CCVCVCVV;CVCVCV;0
menton;2;6;52.35;NC;frequents;long;CVCCVC;CVCV;0
poussin;2;7;75.56;NC;frequents;long;CVVCCVC;CVCV;0
sûrement;2;8;96.2;ADV;frequents;long;CVCVCVCC;CVCVCV;0
zébu;2;4;4.88;NC;rares;court;CVCV;CVCV;1
brave;2;5;0.5;ADJ;rares;court;CCVCV;CCVC;0
obstacle;2;8;0.35;NC;rares;long;VCCCVCCV;VCCCVCC;0
chiffre;2;7;22.33;NC;rares;long;CCVCCCV;CVCC;0
autruche;2;8;21.76;NC;rares;long;VVCCVCCV;VCCVC;0
chiot;2;5;1.13;NC;rares;court;CCVVC;CYV;0
moment;2;6;247.16;NC;frequents;long;CVCVCC;CVCV;0
gazon;2;5;35.42;NC;rares;court;CVCVC;CVCV;0
omelette;2;8;47.86;NC;frequents;long;VCVCVCCV;VCVCVC;0
mouette;2;7;0.31;NC;rares;long;CVVVCCV;CYVC;0
vitesse;2;7;106.8;NC;frequents;long;CVCVCCV;CVCVC;0
presse;2;6;0.42;NC;rares;long;CCVCCV;CCVC;0
benne;2;5;3.9;NC;rares;court;CVCCV;CVC;0
renne;2;5;6.31;NC;rares;court;CVCCV;CVC;0
pivoine;2;7;3.8;NC;rares;long;CVCVVCV;CVCYVC;0
dessert;2;7;56;NC;frequents;long;CVCCVCC;CVCVC;0
mettre;2;6;259.53;VER;frequents;long;CVCCCV;CVCC;0
lequel;2;6;28.04;PRO;rares;long;CVCVVC;CVCVC;0
perdre;2;6;63.96;VER;frequents;long;CVCCCV;CVCCC;0
quelque;2;7;151.64;ADJ;frequents;long;CVVCCVV;CVCC;0
personne;2;8;81.42;NC;frequents;long;CVCCVCCV;CVCCVC;0
trois;2;5;737.99;ADJ;frequents;court;CCVVC;CCYV;0
assiette;2;8;84.42;NC;frequents;long;VCCVVCCV;VCYVC;0
violette;2;8;10.49;NC;rares;long;CVVCVCCV;CYVCVC;0
celui;2;5;123.16;PRO;frequents;court;CVCVV;CVCYV;0
tricycle;2;8;0.5;NC;rares;long;CCVCVCCV;CCVCVCC;0
cible;2;5;3.9;NC;rares;court;CVCCV;CVCC;0
silence;2;7;85.67;NC;frequents;long;CVCVCCV;CVCVC;0
chance;2;6;64.05;NC;frequents;long;CCVCCV;CVC;0
cercle;2;6;3.97;NC;rares;long;CVCCCV;CVCCC;0
façade;2;6;11.87;NC;rares;long;CVCVCV;CVCVC;1
cabane;2;6;83.36;NC;frequents;long;CVCVCV;CVCVC;1
devoir;2;6;10.47;NC;rares;long;CVCVVC;CVCYVC;0
lecture;2;7;43.94;NC;frequents;long;CVCCVCV;CVCCVC;0
averse;2;6;13.48;NC;rares;long;VCVCCV;VCVCC;0
fraîche;2;7;36.72;ADJ;rares;long;CCVVCCV;CCVC;0
branche;2;7;146.63;NC;frequents;long;CCVCCCV;CCVC;0
ensemble;2;8;205.97;ADV;frequents;long;VCCVCCCV;VCVCC;0
soldat;2;6;25.15;NC;rares;long;CVCCVC;CVCCV;0
flambe;2;6;0.37;VER;rares;long;CCVCCV;CCVC;0
ampoule;2;7;5.55;NC;rares;long;VCCVVCV;VCVC;0
fable;2;5;12.1;NC;rares;court;CVCCV;CVCC;0
propre;2;6;100.12;ADJ;frequents;long;CCVCCV;CCVCC;0
jungle;2;6;7.83;NC;rares;long;CVCCCV;CVCC;0
vitrine;2;7;49.77;NC;frequents;long;CVCCVCV;CVCCVC;0
sombre;2;6;46.88;ADJ;frequents;long;CVCCCV;CVCC;0
bombe;2;5;3.86;NC;rares;court;CVCCV;CVC;0
gomme;2;5;73.07;NC;frequents;court;CVCCV;CVC;0
gazelle;2;7;3.46;NC;rares;long;CVCVCCV;CVCVC;0
tribu;2;5;1.83;NC;rares;court;CCVCV;CCVCV;0
faim;2;4;167.93;NC;frequents;court;CVVC;CV;0
grimpe;2;6;101.95;VER;frequents;long;CCVCCV;CCVC;0
gel;3;3;7.65;NC;rares;court;CVC;CVC;0
âge;3;3;12.36;NC;rares;court;VCV;VC;1
agile;3;5;16.15;ADJ;rares;court;VCVCV;VCVC;1
pigeon;3;6;29.55;NC;rares;long;CVCVVC;CVCV;0
magie;3;5;5.62;NC;rares;court;CVCVV;CVCV;0
éponge;3;6;31.61;NC;rares;long;VCVCCV;VCVC;0
génial;3;6;2.49;ADJ;rares;long;CVCVVC;CVCYVC;0
rugir;3;5;3.84;VER;rares;court;CVCVC;CVCVC;0
genou;3;5;70.05;NC;frequents;court;CVCVV;CVCV;0
linge;3;5;28.48;NC;rares;court;CVCCV;CVC;0
géant;3;5;58.35;NC;frequents;court;CVVCC;CVV;0
costume;3;7;87.36;NC;frequents;long;CVCCVCV;CVCCVC;0
méchant;3;7;39.96;ADJ;rares;long;CVCCVCC;CVCV;0
ose;3;3;3.73;VER;rares;court;VCV;VC;1
grise;3;5;30.74;ADJ;rares;court;CCVCV;CCVC;0
cuisine;3;7;232.92;NC;frequents;long;CVVCVCV;CYVCVC;0
musique;3;7;232.04;NC;frequents;long;CVCVCVV;CVCVC;0
jalouse;3;7;0.5;ADJ;rares;long;CVCVVCV;CVCVC;0
fusée;3;5;75.16;NC;frequents;court;CVCVV;CVCV;0
poésie;3;6;39.7;NC;rares;long;CVVCVV;CVVCV;0
poison;3;6;28.79;NC;rares;long;CVVCVC;CYVCV;0
magasin;3;7;137.39;NC;frequents;long;CVCVCVC;CVCVCV;0
visite;3;6;48.58;NC;frequents;long;CVCVCV;CVCVC;1
marcher;3;7;46.74;VER;frequents;long;CVCCCVC;CVCCV;0
écouter;3;7;39.69;VER;rares;long;VCVVCVC;VCVCV;0
acheter;3;7;148.8;VER;frequents;long;VCCVCVC;VCVCV;0
rester;3;6;94.09;VER;frequents;long;CVCCVC;CVCCV;0
cacher;3;6;55.1;VER;frequents;long;CVCCVC;CVCV;0
danser;3;6;19.72;VER;rares;long;CVCCVC;CVCV;0
donner;3;6;245.43;VER;frequents;long;CVCCVC;CVCV;0
goûter;3;6;109.64;NC;frequents;long;CVVCVC;CVCV;0
manger;3;6;525.45;VER;frequents;long;CVCCVC;CVCV;0
penser;3;6;8.39;VER;rares;long;CVCCVC;CVCV;0
tomber;3;6;137.08;VER;frequents;long;CVCCVC;CVCV;0
dimanche;3;8;114.8;NC;frequents;long;CVCVCCCV;CVCVC;0
pantalon;3;8;129.39;NC;frequents;long;CVCCVCVC;CVCVCV;0
nouer;3;5;0.84;VER;rares;court;CVVVC;CYV;0
bien;3;4;2758.98;ADV;frequents;court;CVVC;CYV;0
rien;3;4;643.42;PRO;frequents;court;CVVC;CYV;0
sien;3;4;19.13;PRO;rares;court;CVVC;CYV;0
viens;3;5;176.4;VER;frequents;court;CVVCC;CYV;0
mien;3;4;50.29;PRO;frequents;court;CVVC;CYV;0
tien;3;4;39.59;PRO;rares;court;CVVC;CYV;0
chien;3;5;784.49;NC;frequents;court;CCVVC;CYV;0
magicien;3;8;21.97;NC;rares;long;CVCVCVVC;CVCVCYV;0
violent;3;7;5.71;ADJ;rares;long;CVVCVCC;CYVC;0
mienne;3;6;3.96;PRO;rares;long;CVVCCV;CYVC;0
tienne;3;6;0.5;VER;rares;long;CVVCCV;CYVC;0
sienne;3;6;0.5;PRO;rares;long;CVVCCV;CYVC;0
commande;3;8;3.83;NC;rares;long;CVCCVCCV;CVCVC;0
coucher;3;7;67.9;VER;frequents;long;CVVCCVC;CVCV;0
jouet;3;5;79.37;NC;frequents;court;CVVVC;CYV;0
muet;3;4;5.39;ADJ;rares;court;CVVC;CYV;0
cadet;3;5;0.43;NC;rares;court;CVCVC;CVCV;0
volet;3;5;13.62;NC;rares;court;CVCVC;CVCV;0
muguet;3;6;58.89;NC;frequents;long;CVCVVC;CVCV;0
bouquet;3;7;194.11;NC;frequents;long;CVVCVVC;CVCV;0
orage;3;5;67.36;NC;frequents;court;VCVCV;VCVC;1
derrière;3;8;169.21;PRE;frequents;long;CVCCVVCV;CVCYVC;0
légende;3;7;6.73;NC;rares;long;CVCVCCV;CVCVC;0
jamais;3;6;409.74;ADV;frequents;long;CVCVVC;CVCV;0
inviter;3;7;10.72;VER;rares;long;VCCVCVC;VCVCV;0
écharpe;3;7;35.5;NC;rares;long;VCCVCCV;VCVCC;0
bonnet;3;6;12.67;NC;rares;long;CVCCVC;CVCV;0
tiroir;3;6;42.92;NC;frequents;long;CVCVVC;CVCYVC;0
froide;3;6;9.61;ADJ;rares;long;CCVVCV;CCYVC;0
souvenir;3;8;1.05;NC;rares;long;CVVCVCVC;CVCVCVC;0
enchanté;3;8;3.9;ADJ;rares;long;VCCCVCCV;VCVCV;0
peau;3;4;133.61;NC;frequents;court;CVVV;CV;0
seau;3;4;95.24;NC;frequents;court;CVVV;CV;0
beau;3;4;645.07;ADJ;frequents;court;CVVV;CV;0
cadeau;3;6;189.54;NC;frequents;long;CVCVVV;CVCV;0
oiseau;3;6;446.63;NC;frequents;long;VVCVVV;YVCV;0
deviner;3;7;0.52;VER;rares;long;CVCVCVC;CVCVCV;0
pouvoir;3;7;22.27;VER;rares;long;CVVCVVC;CVCYVC;0
cabri;3;5;0.43;NC;rares;court;CVCCV;CVCCV;0
thé;3;3;59.17;NC;frequents;court;CCV;CV;0
huître;3;6;1.22;NC;rares;long;CVVCCV;YVCC;0
hibou;3;5;85.1;NC;frequents;court;CVCVV;VCV;0
huile;3;5;53.06;NC;frequents;court;CVVCV;YVC;0
étagère;3;7;10.63;NC;rares;long;VCVCVCV;VCVCVC;0
décider;3;7;10.34;VER;rares;long;CVCVCVC;CVCVCV;0
demander;3;8;57.09;VER;frequents;long;CVCVCCVC;CVCVCV;0
aider;3;5;116.22;VER;frequents;court;VVCVC;VCV;0
raison;3;6;24.42;NC;rares;long;CVVCVC;CVCV;0
libre;3;5;35.88;ADJ;rares;court;CVCCV;CVCC;0
progrès;3;7;6.55;NC;rares;long;CCVCCVC;CCVCCV;0
croire;3;6;12.11;VER;rares;long;CCVVCV;CCYVC;0
efforts;3;7;2.64;NC;rares;long;VCCVCCC;VCVC;0
message;3;7;47.72;NC;frequents;long;CVCCVCV;CVCVC;0
gaufre;3;6;0.15;NC;rares;long;CVVCCV;CVCC;0
biberon;3;7;38.64;NC;rares;long;CVCVCVC;CVCVCV;0
aventure;3;8;29.65;NC;rares;long;VCVCCVCV;VCVCVC;0
attentif;3;8;0.37;ADJ;rares;long;VCCVCCVC;VCVCVC;0
agent;3;5;46.8;NC;frequents;court;VCVCC;VCV;0
sécurité;3;8;20.94;NC;rares;long;CVCVCVCV;CVCVCVCV;0
uniforme;3;8;11.94;NC;rares;long;VCVCVCCV;VCVCVCC;0
explique;3;8;65.09;VER;frequents;long;VCCCVCVV;VCCCCVC;0
ensuite;3;7;177.31;ADV;frequents;long;VCCVVCV;VCYVC;0
exemple;3;7;176.42;NC;frequents;long;VCVCCCV;VCCVCC;0
exquis;3;6;3.9;ADJ;rares;long;VCCVVC;VCCCV;0
exercice;3;8;246.36;NC;frequents;long;VCVCCVCV;VCCVCCVC;0
extra;3;5;8.46;ADJ;rares;court;VCCCV;VCCCCV;0
dix;3;3;176.78;ADJ;frequents;court;CVC;CVC;0
six;3;3;151.99;ADJ;frequents;court;CVC;CVC;0
remplir;3;7;10.65;VER;rares;long;CVCCCVC;CVCCVC;0
excuse;3;6;25.11;NC;rares;long;VCCVCV;VCCCVC;0
soigner;3;7;37.5;VER;rares;long;CVVCCVC;CYVCV;0
cygne;3;5;13.42;NC;rares;court;CVCCV;CVC;0
chignon;3;7;12.88;NC;rares;long;CCVCCVC;CVCV;0
montagne;3;8;333.12;NC;frequents;long;CVCCVCCV;CVCVC;0
mulot;3;5;1.27;NC;rares;court;CVCVC;CVCV;0
étrange;3;7;38.87;ADJ;rares;long;VCCVCCV;VCCVC;0
terrier;3;7;0.75;NC;rares;long;CVCCVVC;CVCYV;0
intrigué;3;8;5.53;VER;rares;long;VCCCVCVV;VCCVCV;0
remarque;3;8;16.33;NC;rares;long;CVCVCCVV;CVCVCC;0
protéger;3;8;29.31;VER;rares;long;CCVCVCVC;CCVCVCV;0
réserve;3;7;3.52;NC;rares;long;CVCVCCV;CVCVCC;0
hérisson;3;8;126.64;NC;frequents;long;CVCVCCVC;VCVCV;0
fier;3;4;45.54;ADJ;frequents;court;CVVC;CYVC;0
pousser;3;7;28.8;VER;rares;long;CVVCCVC;CVCV;0
voler;3;5;87.96;VER;frequents;court;CVCVC;CVCV;0
autour;3;6;287.6;ADV;frequents;long;VVCVVC;VCVC;0
accepter;3;8;0.52;VER;rares;long;VCCVCCVC;VCCVCCV;0
chez;3;4;965.07;PRE;frequents;court;CCVC;CV;0
couvert;3;7;6.37;VER;rares;long;CVVCVCC;CVCVC;0
marchand;3;8;69.39;NC;frequents;long;CVCCCVCC;CVCCV;0
toux;3;4;0.35;NC;rares;court;CVVC;CV;0
pierre;3;6;383.13;NP;frequents;long;CVVCCV;CYVC;0
montrer;3;7;36.8;VER;rares;long;CVCCCVC;CVCCV;0
sauter;3;6;80.57;VER;frequents;long;CVVCVC;CVCV;0
leur;4;4;537.29;DET;frequents;court;CVVC;CVC;0
couleur;4;7;251.44;NC;frequents;long;CVVCVVC;CVCVC;0
vieux;4;5;365.75;ADJ;frequents;court;CVVVC;CYV;0
radeau;4;6;0.15;NC;rares;long;CVCVVV;CVCV;0
cœur;4;4;236.09;NC;frequents;court;CVVVC;CVC;0
sœur;4;4;277.64;NC;frequents;court;CVVVC;CVC;0
œuf;4;3;321.25;NC;frequents;court;VVVC;VC;0
vœu;4;3;25.2;NC;rares;court;CVVV;CV;0
nœud;4;4;200.16;NC;frequents;court;CVVVC;CV;0
gagner;4;6;100.11;VER;frequents;long;CVCCVC;CVCV;0
souvent;4;7;182.68;ADV;frequents;long;CVVCVCC;CVCV;0
classe;4;6;311.41;NC;frequents;long;CCVCCV;CCVC;0
cheveux;4;7;318.65;NC;frequents;long;CCVCVVC;CVCV;0
dizaine;4;7;8.35;NC;rares;long;CVCVVCV;CVCVC;0
dessiner;4;8;65.84;VER;frequents;long;CVCCVCVC;CVCVCV;0
emmener;4;7;16.35;VER;rares;long;VCCVCVC;VCVCV;0
déranger;4;8;8.45;VER;rares;long;CVCVCCVC;CVCVCV;0
insister;4;8;0.35;VER;rares;long;VCCVCCVC;VCVCCV;0
matériel;4;8;44.29;NC;frequents;long;CVCVCVVC;CVCVCYVC;0
artiste;4;7;5.36;NC;rares;long;VCCVCCV;VCCVCC;0
encre;4;5;34.12;NC;rares;court;VCCCV;VCC;0
heure;4;5;277.48;NC;frequents;court;CVVCV;VC;0
respirer;4;8;13.36;VER;rares;long;CVCCVCVC;CVCCVCV;0
trompe;4;6;50.58;NC;frequents;long;CCVCCV;CCVC;0
tempête;4;7;128.13;NC;frequents;long;CVCCVCV;CVCVC;0
puissant;4;8;1.05;ADJ;rares;long;CVVCCVCC;CYVCV;0
heureux;4;7;317.65;ADJ;frequents;long;CVVCVVC;VCV;0
comment;4;7;274.03;ADV;frequents;long;CVCCVCC;CVCV;0
plonger;4;7;16.2;VER;rares;long;CCVCCVC;CCVCV;0
étroit;4;6;10.69;ADJ;rares;long;VCCVVC;VCCYV;0
créature;4;8;0.61;NC;rares;long;CCVVCVCV;CCVVCVC;0
étonnant;4;8;3.85;ADJ;rares;long;VCVCCVCC;VCVCV;0
nageoire;4;8;13.65;NC;rares;long;CVCVVVCV;CVCYVC;0
certain;4;7;8.28;ADJ;rares;long;CVCCVVC;CVCCV;0
exotique;4;8;0.35;ADJ;rares;long;VCVCVCVV;VCCVCVC;0
étoile;4;6;172.61;NC;frequents;long;VCVVCV;VCYVC;0
spécial;4;7;32.66;ADJ;rares;long;CCVCVVC;CCVCYVC;0
large;4;5;3.95;ADJ;rares;court;CVCCV;CVCC;0
payer;4;5;88.61;VER;frequents;court;CVVVC;CVYV;0
balayer;4;7;8.25;VER;rares;long;CVCVVVC;CVCVYV;0
frayeur;4;7;1.13;NC;rares;long;CCVVVVC;CCVYVC;0
araignée;4;8;62.87;NC;frequents;long;VCVVCCVV;VCVCV;0
faufiler;4;8;0.5;VER;rares;long;CVVCVCVC;CVCVCV;0
met;4;3;678.55;VER;frequents;court;CVC;CV;0
miel;4;4;147.4;NC;frequents;court;CVVC;CYVC;0
peigne;4;6;77.32;NC;frequents;long;CVVCCV;CVC;0
pleine;4;6;96.06;ADJ;frequents;long;CCVVCV;CCVC;0
freiner;4;7;0.62;VER;rares;long;CCVVCVC;CCVCV;0
caille;4;6;0.43;NC;rares;long;CVVCCV;CVY;0
rail;4;4;8.25;NC;rares;court;CVVC;CVY;0
sommeil;4;7;96.1;NC;frequents;long;CVCCVVC;CVCVY;0
conseil;4;7;65.06;NC;frequents;long;CVCCVVC;CVCVY;0
oreille;4;7;116.6;NC;frequents;long;VCVVCCV;VCVY;0
feuille;4;7;246.03;NC;frequents;long;CVVVCCV;CVY;0
fauteuil;4;8;150.59;NC;frequents;long;CVVCVVVC;CVCVY;0
écureuil;4;8;157.53;NC;frequents;long;VCVCVVVC;VCVCVY;0
cuillère;4;8;43.75;NC;frequents;long;CVVCCVCV;CYVYVC;0
rouille;4;7;13.54;NC;rares;long;CVVVCCV;CVY;0
manière;4;7;3.96;NC;rares;long;CVCVVCV;CVCYVC;0
planter;4;7;5.57;VER;rares;long;CCVCCVC;CCVCV;0
question;4;8;58.24;NC;frequents;long;CVVCCVVC;CVCCYV;0
lustre;4;6;13.14;NC;rares;long;CVCCCV;CVCCC;0
promener;4;8;50.39;VER;frequents;long;CCVCVCVC;CCVCCV;0
reflet;4;6;0.61;NC;rares;long;CVCCVC;CVCCV;0
baigner;4;7;3.84;VER;rares;long;CVVCCVC;CVCV;0
mystère;4;7;0.15;NC;rares;long;CVCCVCV;CVCCVC;0
gruyère;4;7;21.99;NC;rares;long;CCVVVCV;CCVYVC;0
yaourt;4;6;54.48;NC;frequents;long;VVVVCC;YVVCC;0
foraine;4;7;1.21;ADJ;rares;long;CVCVVCV;CVCVC;0
réparer;4;7;29.86;VER;rares;long;CVCVCVC;CVCVCV;0
épais;4;5;22.43;ADJ;rares;court;VCVVC;VCV;0
effrayer;4;8;3.9;VER;rares;long;VCCCVVVC;VCCVYV;0
wagon;4;5;40.09;NC;frequents;court;CVCVC;CVCV;0
fourrure;4;8;69.95;NC;frequents;long;CVVCCVCV;CVCVC;0
arrière;4;7;55.1;NC;frequents;long;VCCVVCV;VCYVC;0
rivière;4;7;466.5;NC;frequents;long;CVCVVCV;CVCYVC;0
joyeux;4;6;168.89;ADJ;frequents;long;CVVVVC;CYVYV;0
victoire;4;8;1.25;NC;rares;long;CVCCVVCV;CVCCYVC;0
curieux;4;7;58.81;ADJ;frequents;long;CVCVVVC;CVCYV;0
narine;1;6;15.65;NC;rares;long;CVCVCV;CVCVC;1
défilé;1;6;7.33;NC;rares;long;CVCVCV;CVCVCV;1
famine;1;6;0.5;NC;rares;long;CVCVCV;CVCVC;1
finale;1;6;0.43;NC;rares;long;CVCVCV;CVCVC;1
panorama;1;8;0.53;NC;rares;long;CVCVCVCV;CVCVCVCV;1
parade;1;6;0.3;NC;rares;long;CVCVCV;CVCVC;1
pédalo;1;6;0.61;NC;rares;long;CVCVCV;CVCVCV;1
pilule;1;6;25.46;NC;rares;long;CVCVCV;CVCVC;1
redire;1;6;3.95;VER;rares;long;CVCVCV;CVCVC;1
relire;1;6;8.36;VER;rares;long;CVCVCV;CVCVC;1
saleté;1;6;0.5;NC;rares;long;CVCVCV;CVCVCV;1
solitude;1;8;0.53;NC;rares;long;CVCVCVCV;CVCVCVC;1
timide;1;6;33.03;ADJ;rares;long;CVCVCV;CVCVC;1
vérité;1;6;31.1;NC;rares;long;CVCVCV;CVCVCV;1
volume;1;6;0.43;NC;rares;long;CVCVCV;CVCVC;1
parole;1;6;56.42;NC;frequents;long;CVCVCV;CVCVC;1
pyjama;1;6;83.5;NC;frequents;long;CVCVCV;CVCVCV;1
tirelire;1;8;42.82;NC;frequents;long;CVCVCVCV;CVCVCVC;1
tulipe;1;6;102.26;NC;frequents;long;CVCVCV;CVCVC;1
vitamine;1;8;41.58;NC;frequents;long;CVCVCVCV;CVCVCVC;1